# This list include aur entries!
xfce4-power-manager 4.18.3-1
xfce4-session 4.18.3-1
xfce4-settings 4.18.4-1
xfce4-terminal 1.1.2-2
xfdesktop 4.18.1-1
xfwm4 4.18.0-2
xfwm4-themes 4.10.0-5
xorg-xev 1.2.5-1
xorg-xinput 1.6.4-1
xorg-xlsclients 1.1.5-1
xorg-xrdb 1.2.2-1
xorg-xwayland 23.2.4-2
yay 12.3.0-1
youtube-dl 2021.12.17-2
yt-dlp 2023.12.30-1
zram-generator 1.1.2-1
